frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
,,,,1070.465,0.389420,1070.465,0.131578
,,,,1080.460,0.393414,1080.460,0.132044
,,,,1090.455,0.397331,1090.455,0.132511
,,,,1100.450,0.401176,1100.450,0.132979
,,,,1110.445,0.404952,1110.445,0.133446
,,,,1120.440,0.408661,1120.440,0.133910
,,,,1130.435,0.412308,1130.435,0.134369
,,,,1140.430,0.415898,1140.430,0.134822
,,,,1150.425,0.419439,1150.425,0.135270
,,,,1160.420,0.422936,1160.420,0.135711
,,,,1170.415,0.426397,1170.415,0.136145
,,,,1180.410,0.429828,1180.410,0.136571
,,,,1190.405,0.433236,1190.405,0.136989
,,,,1200.400,0.436626,1200.400,0.137398
,,,,1210.395,0.440006,1210.395,0.137797
,,,,1220.390,0.443379,1220.390,0.138184
,,,,1230.385,0.446747,1230.385,0.138556
,,,,1240.380,0.450112,1240.380,0.138908
,,,,1250.375,0.453473,1250.375,0.139237
,,,,1260.370,0.456832,1260.370,0.139540
,,,,1270.365,0.460185,1270.365,0.139814
,,,,1280.360,0.463532,1280.360,0.140057
,,,,1290.355,0.466869,1290.355,0.140269
,,,,1300.350,0.470193,1300.350,0.140446
,,,,1310.345,0.473502,1310.345,0.140588
,,,,1320.340,0.476793,1320.340,0.140696
,,,,1330.335,0.480063,1330.335,0.140770
,,,,1340.330,0.483310,1340.330,0.140811
,,,,1350.325,0.486533,1350.325,0.140818
,,,,1360.320,0.489730,1360.320,0.140796
,,,,1370.315,0.492904,1370.315,0.140745
,,,,1380.310,0.496053,1380.310,0.140668
,,,,1390.305,0.499177,1390.305,0.140566
,,,,1400.300,0.502278,1400.300,0.140436
,,,,1410.295,0.505356,1410.295,0.140276
,,,,1420.290,0.508410,1420.290,0.140082
,,,,1430.285,0.511441,1430.285,0.139854
,,,,1440.280,0.514452,1440.280,0.139600
,,,,1450.275,0.517447,1450.275,0.139331
,,,,1460.270,0.520429,1460.270,0.139060
,,,,1470.265,0.523400,1470.265,0.138795
,,,,1480.260,0.526356,1480.260,0.138516
,,,,1490.255,0.529281,1490.255,0.138182
,,,,1500.250,0.532161,1500.250,0.137747
,,,,1510.245,0.534984,1510.245,0.137167
,,,,1520.240,0.537746,1520.240,0.136428
,,,,1530.235,0.540469,1530.235,0.135573
,,,,1540.230,0.543176,1540.230,0.134652
,,,,1550.225,0.545892,1550.225,0.133717
,,,,1560.220,0.548637,1560.220,0.132810
,,,,1570.215,0.551408,1570.215,0.131934
,,,,1580.210,0.554197,1580.210,0.131075
,,,,1590.205,0.556993,1590.205,0.130224
,,,,1600.200,0.559789,1600.200,0.129368
,,,,1610.195,0.562581,1610.195,0.128504
,,,,1620.190,0.565370,1620.190,0.127632
,,,,1630.185,0.568159,1630.185,0.126756
,,,,1640.180,0.570949,1640.180,0.125877
,,,,1650.175,0.573742,1650.175,0.124997
,,,,1660.170,0.576537,1660.170,0.124116
,,,,1670.165,0.579334,1670.165,0.123231
,,,,1680.160,0.582132,1680.160,0.122341
,,,,1690.155,0.584930,1690.155,0.121445
,,,,1700.150,0.587728,1700.150,0.120543
,,,,1710.145,0.590526,1710.145,0.119633
,,,,1720.140,0.593324,1720.140,0.118716
,,,,1730.135,0.596122,1730.135,0.117791
,,,,1740.130,0.598919,1740.130,0.116857
,,,,1750.125,0.601717,1750.125,0.115916
,,,,1760.120,0.604514,1760.120,0.114966
,,,,1770.115,0.607311,1770.115,0.114007
,,,,1780.110,0.610107,1780.110,0.113039
,,,,1790.105,0.612903,1790.105,0.112062
,,,,1800.100,0.615699,1800.100,0.111075
,,,,1810.095,0.618495,1810.095,0.110079
,,,,1820.090,0.621291,1820.090,0.109073
,,,,1830.085,0.624087,1830.085,0.108058
,,,,1840.080,0.626885,1840.080,0.107033
,,,,1850.075,0.629683,1850.075,0.105998
,,,,1860.070,0.632484,1860.070,0.104954
,,,,1870.065,0.635287,1870.065,0.103899
,,,,1880.060,0.638092,1880.060,0.102835
,,,,1890.055,0.640901,1890.055,0.101761
